id,title,text
96,Re-route request,"Passenger requested scenic detour along waterfront."
97,Early arrival,"Arrived early due to light traffic; passenger grateful."
98,Traffic camera,"Avoided route with speed cameras to prevent fines."
99,Flat battery,"Car battery issue; used jumper leads to restart vehicle."
100,Passenger celebration,"Group celebrating birthday, lively atmosphere in taxi."
101,Traffic slowdown,"Unidentified slowdown on main avenue; minor delays."
102,Quiet night,"Late-night ride with quiet streets and quick journey."
103,Airport morning,"Early flight passengers required punctual pickup at 4 AM."
104,Surge pricing,"High demand during event created surge pricing; passenger accepted."
105,Vehicle fumigation,"Vehicle sanitized after passenger reported illness."
106,Long-distance drop,"Long interstate trip with scheduled rest stops."
107,Passenger lost keys,"Passenger misplaced keys; driver assisted in searching stops."
108,Meter verification,"Verified meter start and end times during dispute."
109,Overnight shift,"Worked overnight with steady ride requests."
110,VIP passenger,"VIP customer requested privacy and no photos."
111,Driver navigation app,"Used updated map app to avoid construction."
112,Traffic accident investigation,"Stopped while police investigated multi-car accident."
113,Passenger luggage weight,"Heavy luggage overloaded trunk; rearranged for safety."
114,Driver late,"Driver arrived late due to traffic but apologized."
115,Road closure notice,"Notified passengers of road closure ahead and detour."
116,Airport transfer,"Coordinated flight transfer with connecting driver."
117,Lost wallet,"Passenger reported missing wallet; contact details exchanged."
118,Minor collision,"Small scratch on bumper after parking; documented incident."
119,Vacation group,"Tourists with suitcases and city map; suggested attractions."
120,Passenger medical needs,"Passenger required medication during trip; stopped at pharmacy."
121,Heavy snow,"Snow accumulation slowed city transport significantly."
122,Event crowd,"Large crowd leaving stadium slowed pickup area access."
123,Unclear address,"Address incomplete; passenger provided landmark for directions."
124,Carpool request,"Carpool arranged for multiple passengers to same district."
125,Driver route preference,"Driver chose route with fewer hills for comfort."
126,Pet transport,"Passenger had a small pet—kept in carrier for entire trip."
127,Traffic enforcement,"Observed officer issuing ticket for illegal turns."
128,Wheelchair accessible,"Provided assistance and accessible taxi for wheelchair user."
129,Late night safety,"Ensured safe dropoff in well-lit area for passenger."
130,Unexpected refund,"Refunded passenger due to overcharge from earlier mistake."
131,Historic district,"Route passed through historic district with narrow lanes."
132,Passenger reschedule,"Passenger requested delaying pickup by 15 minutes."
133,Driver lost phone,"Driver misplaced phone; searched vehicle and dispatch assisted."
134,Baby on board,"Family traveling with infant; extra stops for diaper change."
135,Payment app,"Passenger used mobile payment app successfully."
136,Driver extra stop,"Made extra stop at convenience store per passenger request."
137,Traffic island,"Turn restricted by traffic island, made safe U-turn."
138,Driver training,"New driver on shift shadowed by experienced colleague."
139,Taxi signbroken,"Taxi top sign flickered; reported for maintenance."
140,Airport long haul,"Long haul to airport with heavy luggage; smooth ride after."
141,Passenger complaint resolved,"Resolved complaint amicably; passenger satisfied."
142,Early morning fog,"Fog reduced visibility; speed reduced for safety."
143,Concert dropoff,"Dropped group at concert; heavy pedestrian traffic."
144,Driver gratuity,"Passenger insisted on higher tip for good service."
145,Passenger ID check,"Verified passenger identity on request of corporate booking."
146,Traffic slowdown due to animals,"Herd crossing slowed traffic on outskirts."
147,Late cancellation fee,"Applied cancellation fee per policy after late no-show."
148,Traffic signal coordination,"Timed signals allowed steady flow for several blocks."
149,Charity drive,"Driver participated in charity pickup drive for seniors."
150,Low battery phone,"Passenger phone battery low; used drivers charger for emergency call."
151,Short commute,"Quick commute with minimal stops and friendly chat."
152,Driver polite,"Driver assisted immaculately and followed city regulations."
153,Passenger late fee waived,"Waived fee considering passenger's emergency situation."
154,Event afterparty,"Afterparty crowd created long queues for taxis downtown."
155,Taxi meter checked,"Checked meter for accuracy after passenger inquiry."
156,Scenic detour request,"Passenger wanted scenic route by river for photography."
157,Traffic jam cleared,"Slow start then cleared after lane reopened."
158,Airport queue slow,"Long time in taxi queue at peak luggage claim time."
159,Clean vehicle,"Passenger complimented driver on cleanliness and comfort."
160,Lost passport,"Passenger reported lost passport; directed to airport authorities."
161,Flat tire fixed,"Spare tire fitted and passenger continued journey."
162,Driver health issue,"Driver took break due to minor health issue; resumed after rest."
163,Payment by app error,"Payment app error resolved by re-trying transaction."
164,Route blocked for filming,"Filming on location blocked main street; detoured."
165,Driver friendly chat,"Conversation warmed passenger about city history."
166,Traffic light timed off,"Signal timing issue created minor traffic backup."
167,Driver followed rules,"Driver adhered to speed limits and municipal regulations."
168,Heavy rain puddles,"Large puddles on road splashed during drive; slowed speed."
169,Passenger offered water,"Passenger declined offered water; remained comfortable."
170,Airport pickup issue,"Terminal road closed temporarily causing delay at pickup."
171,Driver fast response,"Driver responded rapidly to an app booking in 2 minutes."
172,Taxi waiting area crowded,"Crowded waiting area delayed taxi access to curbside."
173,Passenger privacy request,"Passenger requested driver to avoid conversation and music."
174,Traffic check,"Routine traffic stop for documentation; no violations."
175,Long pickup route,"Pickup required navigating small residential streets."
176,City parade delay,"Parade caused several detours and longer trip times."
177,Passenger musical,"Passenger played music at low volume during trip."
178,Driver followed GPS,"Followed GPS guidance but adjusted for local traffic conditions."
179,Passenger spilled drink,"Spilled drink cleaned up; minor stain treated after dropoff."
180,Surprise guest,"Passenger requested spontaneous stop to pick friend en route."
181,Late airport arrival,"Flight arrival delayed; waited in holding area for pickup."
182,Short errand,"Passenger ran into store for quick purchase; returned in 3 minutes."
183,Traffic backup,"High congestion near central station slowed all vehicles."
184,Driver mechanical check,"Performed quick check after unusual noise; no immediate issue."
185,Taxi lane advantage,"Used dedicated lane to bypass congestion and reach pickup faster."
186,Passenger luggage tag,"Attached luggage tags to verify ownership at airport."
187,City marathon,"Marathon route closed multiple streets; had a long detour."
188,Passenger emotional,"Passenger upset; offered empathy and quiet ride."
189,Ticket machine,"Toll ticket machine malfunctioned; paid and kept receipt."
190,Driver punctual,"Arrived at pickup point 5 minutes early and notified passenger."
191,Traffic downpour,"Sudden downpour caused spray and slower driving conditions."
192,Passenger lost item returned,"Returned lost charger to passenger after contacting them."
193,Local shortcut,"Used local shortcut through alley to avoid jammed intersection."
194,Driver offered map,"Driver provided map and pointed out landmarks on route."
195,Noisy passenger,"Loud conversation disturbed other passengers briefly."
196,Parking fine,"Received parking fine while waiting at curbside; logged incident."
197,Passenger luggage policy,"Advised passenger about luggage limits and extra fees."
198,Taxi shelter,"Picked up passenger from sheltered taxi zone during rain."
199,Driver rearranged seats,"Rearranged seats for passenger comfort and extra legroom."
200,Unexpected heavy traffic,"Unplanned congestion due to an accident on main highway."
201,Holiday shoppers,"Holiday crowds increased waiting times at busier shopping areas."
202,Passenger medical alert,"Passenger had medical alert device; safe dropoff ensured."
203,Driver offered route options,"Provided fastest and scenic routes for passenger choice."
204,Ticket for event,"Passenger asked to stop by box office to collect tickets."
205,Vehicle check,"Reported minor oil leak to dispatch; scheduled maintenance."
206,Driver polite refusal,"Refused unsafe route request politely and explained reason."
207,Airport gate confusion,"Confusion over gate number; coordinated with passenger to find correct terminal."
208,Passenger tip change,"Passenger changed tip after driver assisted with luggage."
209,Traffic due to filming,"Film production caused temporary road closure and redirect."
210,Passenger passport help,"Assisted passenger with passport forms and directions at airport."
211,Driver rest break,"Took mandated rest break between long shifts for safety."
212,Parking tight spots,"Difficulty parking in tight city spots during pickup."
213,Passenger asked for invoice,"Provided printed invoice on passenger request."
214,Lost item found,"Found passenger's scarf under seat; returned at next stop."
215,Driver lit interior,"Kept interior lights low per passenger preference at night."
216,Event surge,"Major event ended causing huge surge in requests."
217,Passenger early leave,"Passenger left early from event; driver got ahead of queue."
218,Route with tolls,"Route passed through toll plaza; ensured passenger knew costs."
219,Driver followed local laws,"Complied with local taxi regulations and stripe code."
220,Passenger car sick,"Passenger experienced motion sickness; pulled over to help."
221,Heavy load,"Carried large parcel to doorstep at passenger's request."
222,Driver cleanliness note,"Sanitized vehicle seats before new passenger boarded."
223,Driver parking assistance,"Assisted passenger finding legal parking spots near destination."
224,Traffic signal malfunction,"Signal malfunction slowed traffic through intersection."
225,Passenger identification,"Requested ID for corporate ride verification; passenger complied."
226,Driver provided umbrella,"Provided umbrella when passenger stepped into rain."
227,Airport luggage overflow,"Overflow at baggage claim delayed passenger reaching taxi rank."
228,Driver took receipt,"Provided detailed receipt and fare breakdown upon request."
229,Passenger conversation,"Passenger enjoyed chat about local attractions and cuisine."
230,Driver avoided steep hill,"Avoided steep hill at passenger request for smoother ride."
231,Highway detour,"Detour on highway due to maintenance added 10 minutes."
232,Vehicle amenities,"Passenger appreciated phone charger and bottled water provided."
233,Traffic sensors offline,"Signal sensors offline caused longer waits at lights."
234,Passenger decline service,"Passenger declined additional stop requested by another rider."
235,Lost child reunited,"Assisted in reuniting lost child with family at station."
236,Driver followed GPS update,"GPS rerouted around flooded streets successfully."
237,Passenger luggage ID,"Checked luggage tag to avoid mix-ups with others."
238,Severe storm,"Severe storm warnings reduced visibility and speed drastically."
239,Driver gave directions,"Provided walking directions after dropoff to passenger."
240,Taxi meter calibration,"Scheduled calibration for meter after passenger complaint."
241,Passenger commended driver,"Passenger left positive feedback about driver conduct."
242,Traffic congestion resolved,"Delays eased after traffic control diverted vehicles."
243,Driver health check,"Health check completed during break; cleared to drive."
244,Passenger in rush,"Passenger in a hurry requested fastest route and driver obliged."
245,Night shift quiet,"Night shift had fewer passengers and smooth routes."
246,Airport early check,"Checked flight status to ensure timely pickup due to delays."
247,Passenger luggage rearranged,"Rearranged luggage multiple times to balance trunk load."
248,Taxi top sign broken,"Noted taxi top sign malfunction and reported to dispatch."
249,Driver helpful tips,"Shared local restaurant recommendations with tourist passenger."
250,Heavy traffic monday,"Monday morning heavy traffic due to commuter volumes."
251,Passenger left review,"Passenger posted positive review via app praising driver punctuality."
252,Driver hygiene,"Vehicle smelled fresh after recent cleaning; passenger appreciated."
253,Airport queuing rules,"Adhered to airport taxi queue rules and waited turn."
254,Short notice call,"Short notice booking accepted and driver arrived swiftly."
255,Traffic reroute,"Traffic reroute requested by dispatcher to avoid jam."
256,Passenger request assistance,"Provided extra assistance to older passenger boarding taxi."
257,Lost luggage,"Assisted passenger reporting lost luggage to airline desk."
258,Highway police stop,"Routine check by highway patrol; all documents in order."
259,Passenger requested AC,"Passenger requested air conditioning lower due to nausea."
260,Driver asked for directions,"Driver asked local for clarification on narrow street access."
261,Event late start,"Event started late causing many passengers to delay arrival."
262,Passenger delayed boarding,"Boarded after a delay due to personal needs; driver waited politely."
263,Vehicle inspection,"Routine vehicle inspection passed with no issues."
264,Passenger luggage fragile,"Handled fragile items carefully as requested by passenger."
265,Traffic near market,"Market day created congestion around local streets near destination."
266,Driver used hand signals,"Used hand signals when electronic signals unavailable."
267,Passenger medical card,"Passenger carried medical card; driver noted in case of emergency."
268,Taxi app update,"App updated during shift; no disruption to booking process."
269,Passenger language barrier,"Used translation app to understand passenger request."
270,Driver sketched map,"Sketched quick map for passenger to find a walking destination."
271,Traffic caused by accident,"Major accident reduced lanes and increased commute times."
272,Passenger requested music,"Passenger requested classical music; driver complied."
273,Taxi insurance claim,"Filed minor claim after scratch from parking incident."
274,Driver followed safety drill,"Followed safety drill during unexpected incident on route."
275,Passenger provided ID,"Passenger provided ID for company reimbursement claim."
276,Heavy luggage loading,"Used extra care loading and securing heavy luggage in trunk."
277,Driver minor delay,"Minor delay due to roadwork; passenger understanding and patient."
278,Taxi licensing check,"Presented license to passenger upon request; everything is valid."
279,Passenger drink purchase,"Stopped at a cafe so passenger could buy a drink."
280,Driver route familiarity,"Driver's local knowledge avoided heavy bottlenecks successfully."
281,Traffic diversion,"Police diversion rerouted traffic for VIP motorcade."
282,Passenger allergic reaction,"Passenger had mild allergic reaction; assured help and stopped at pharmacy."
283,Taxi queue length,"Extended wait due to long taxi queue at peak times."
284,Driver donated to charity,"Collected small donations from passengers for local charity."
285,Passenger indecisive,"Passenger undecided on exact dropoff; clarified after discussion."
286,Vehicle maintenance scheduled,"Scheduled vehicle maintenance for upcoming day."
287,Driver smartphone mount,"Mounted phone securely for safe navigation during shift."
288,Airport taxi rank rules,"Followed rules and protocols at busy airport rank."
289,Passenger asked brief stop,"Passenger asked to stop briefly for ATM withdrawal."
290,Driver health emergency,"Driver experienced sudden illness; sought immediate help."
291,Traffic preventing crossing,"Unable to cross a busy road due to continuous traffic flow."
292,Passenger belongings secured,"Secured passenger's items before moving to highway."
293,Driver friendly demeanor,"Polite and helpful driver made passenger comfortable during trip."
294,Event overflow,"Overflow of taxis after event caused longer wait times."
295,Passenger asked for receipt,"Provided digital receipt per passenger request."
296,Driver offered sightseeing,"Offered short sightseeing suggestions for visitor; passenger interested."
297,Traffic signal timing,"Adaptive signal timing optimized flow during non-peak hours."
298,Passenger quick exit,"Passenger exited swiftly with no issues at dropoff."
299,Driver followed detour signs,"Followed official detour signs when route blocked."
300,Taxi lights out,"Reported exterior lights malfunction and scheduled repair."
301,Passenger privacy respected,"Driver kept conversation minimal at passenger's request."
302,Traffic film shoot,"Film crew obstructed route briefly during lunch hours."
303,Driver assistance with stroller,"Helped fold and place stroller in trunk for family."
304,Passenger forgot item,"Passenger returned shortly after noticing forgotten item at pickup."
305,Driver polite refusal,"Refused unsafe request to drive in closed area due to safety concerns."
306,Traffic congestion midday,"Midday congestion at commercial district slowed trip."
307,Passenger late for meeting,"Passenger anxious about late meeting; driver expedited route."
308,Driver reported pothole,"Reported large pothole to city services after trip."
309,Airport pickup confusion,"Confusion over pickup point at terminal; clarified with dispatch."
310,Passenger child asleep,"Child slept for entire journey; quiet ride."
311,Driver followed city ordinances,"Adhered strictly to local ordinances regarding taxi operation."
312,Traffic due to utility work,"Utility works on main road delayed traffic for several blocks."
313,Passenger issue resolved,"Resolved billing issue amicably with passenger."
314,Driver etiquette praised,"Passenger praised driver etiquette and professionalism."
315,Vehicle sanitized regularly,"Regular sanitation maintained for passenger health and safety."
316,Late night crowds,"Late night crowds around bars led to higher demand for taxis."
317,Passenger returned personal item,"Returned a watch left on seat to grateful passenger."
318,Traffic accident detour,"Detour around accident reduced traffic flow across nearby streets."
319,Driver assisted with wheelchair,"Helped secure wheelchair and ensure safe boarding."
320,Passenger caution requested,"Passenger requested slower driving due to motion sickness."
321,Taxi meter reset,"Meter reset after brief malfunction; logged incident report."
322,Driver attentive,"Attentive driver noticed passenger's luggage label and assisted appropriately."
323,Passenger luggage rearrangement,"Rearranged luggage to fit additional parcels for passenger."
324,Traffic during storm,"Storm resulted in slower speeds and careful driving for safety."
325,Driver updated app,"Updated driver app to latest version during shift; no booking interruption."
326,Passenger restroom stop,"Stopped briefly so passenger could use restroom at gas station."
327,Traffic gridlock,"Gridlock across multiple intersections caused long delays."
328,Driver offered local history,"Shared local history facts with tourist passenger."
329,Airport pickup delay,"Flight landed early; pickup area congested causing slight delay."
330,Passenger request for music off,"Turned music off for passenger's preference towards quiet."
331,Driver assisted with directions,"Provided directions to nearby hospital after dropoff request."
332,Traffic on bridge,"Bridge inspection slowed traffic resulting in queued cars."
333,Passenger left keys,"Recovered keys left by passenger and returned at next opportunity."
334,Driver stopped for police,"Stopped briefly for police check; everything in order and resumed."
335,Taxi insurance renewal,"Renewed taxi insurance and updated documents in vehicle folder."
336,Passenger offered loyalty points,"Explained loyalty credit to passenger when booking through app."
337,Driver brake check,"Noticed brake squeal and reported for mechanic inspection later."
338,Airport baggage service,"Arranged for porter to assist with heavy baggage at terminal."
339,Passenger requested trunk space,"Requested larger trunk for bulky items; accommodated accordingly."
340,Driver provided charger,"Provided phone charger and passenger appreciated the convenience."
341,Traffic construction noise,"Construction noise along route made conversation difficult."
342,Passenger comfortable,"Passenger expressed comfort with seat and temperature settings."
343,Driver offered alternative route,"Suggested alternate route to avoid jam; passenger agreed."
344,Traffic signal maintenance,"Signal maintenance reduced lane capacity causing slowdowns."
345,Passenger event pickup,"Picked up event VIPs and followed required protocols."
346,Driver spare tire installed,"Installed spare tire after roadside flat, continued safely to destination."
347,Airport luggage trolley,"Assisted passenger use luggage trolley to terminal entrance."
348,Passenger paid cash,"Passenger preferred to pay in cash despite card machine availability."
349,Driver followed eco route,"Chose route aiming to reduce idling and fuel consumption."
350,Traffic heavy midday,"Heavy midday traffic near shopping district added time to trip."
351,Passenger city suggestions,"Shared local cafe recommendations for next visit."
352,Driver charging issue,"Temporary charger issue in vehicle resolved with alternate cable."
353,Taxi rank full,"Taxi rank at station full; waited for next available slot."
354,Passenger late arrival,"Passenger arrived late to pickup due to elevator outage."
355,Driver assisted with map,"Helped passenger navigate to nearby bus stop after dropoff."
356,Traffic after event,"Post-event traffic very heavy causing longer return time to base."
357,Passenger medication left,"Found medication and turned it in to lost and found office."
358,Driver followed training,"Applied safety training best practices during emergency situation."
359,Taxi fare round up,"Passenger rounded up fare for driver convenience and tip."
360,Traffic heavy rain,"Heavy rain reduced lane visibility and caused cautious driving."
361,Passenger asked for airport receipt,"Supplied detailed receipt for business expense reimbursement."
362,Driver polite and calm,"Polite demeanor kept passenger comfortable during busy commute."
363,Lost child assistance,"Assisted mother in locating child separated in busy market area."
364,Traffic preventive detour,"Took safer detour to avoid suspected accident area."
365,Passenger luggage tags provided,"Handed luggage tags to passenger for identification at arrival."
366,Driver switched route due to festival,"Alternative route chosen because of festival route closures."
367,Passenger not wearing seatbelt,"Requested passenger to wear seatbelt for safety; complied."
368,Taxi seat cover issue,"Seat cover slightly torn; noted for maintenance replacement."
369,Driver avoided potholes,"Driver used local knowledge to avoid worst road sections."
370,Passenger requested invoice email,"Collected email and sent invoice after trip via app."
371,Traffic emergency vehicle,"Yielded to emergency vehicle and pulled over safely."
372,Passenger late night tips,"Passenger tipped well for late-night safe transport."
373,Driver followed GPS update,"GPS rerouted around blocked tunnel; smooth progress afterward."
374,Airport check-in confusion,"Provided guidance to passenger for complicated check-in process."
375,Passenger luggage insured,"Passenger reported valuables insured and requested careful handling."
376,Traffic slow due to school,"School dismissal caused a cluster of pedestrian traffic nearby."
377,Driver gave water bottle,"Provided bottled water to passenger during warm weather."
378,Passenger grateful,"Passenger expressed gratitude for prompt service and assistance."
379,Driver routine cleaning,"Performed routine cleaning after passenger reported spill."
380,Traffic lane reduced,"Lane reduction due to maintenance slowed the flow significantly."
381,Passenger early morning coffee stop,"Stopped for quick coffee per passenger's request before dropoff."
382,Driver safety equipment,"Carried first aid kit and fire extinguisher standard in vehicle."
383,Traffic due to parade","Parade route blocked arterial roads; had to re-route via side streets."
384,Passenger requested map printed,"Printed map on request to show directions to tourist."
385,Driver responded to emergency,"Provided assistance in emergency until paramedics arrived."
386,Traffic reduced speed limit,"Temporary speed limit enforced due to road works."
387,Passenger lost luggage returned,"Coordinates with airline to return lost luggage to passenger."
388,Driver punctuality praised,"Passenger rated driver highly for punctuality and politeness."
389,Traffic detour signs,"Followed detour signs to bypass obstruction on main route."
390,Passenger requested rear seat,"Preferred rear seat for privacy and sat quietly during trip."
391,Driver had extra blanket,"Provided blanket for passenger during cold night trip."
392,Traffic congestion stall,"Stopped for long time due to stalled vehicle blocking lanes."
393,Passenger requested window open,"Passenger asked to lower window for fresh air during ride."
394,Driver switched to alternate payment,"Accepted alternate payment method after card issue."
395,Traffic temporary signal,"Temporary signals in place due to road maintenance work."
396,Passenger required assistance to step out,"Assisted elderly passenger from taxi to curb when arriving."
397,Driver notified dispatch,"Notified dispatch of route change due to heavy congestion."
398,Traffic time delay,"Unexpected delays added extra waiting time for passengers."
399,Passenger pickup confusion resolved,"Clarified location and met passenger promptly after call."
400,Driver kept cab neat,"Maintained vehicle neatness; passenger complimented condition."
401,Passenger lost ticket,"Assisted passenger in retrieving lost event ticket at venue."
402,Driver provided city tips,"Shared tips on avoiding peak hour traffic for passenger's next trip."
403,Traffic on access road,"Access road closed temporarily causing local detours."
404,Passenger asked to stop at pharmacy,"Stopped briefly for passenger to pick up medication."
405,Driver made alternate route,"Alternate route chosen to avoid heavy truck traffic on main road."
406,Passenger luggage overflow handled,"Balanced luggage to ensure safe travel and avoid obstruction."
407,Traffic after storm cleanup,"Street cleaning and debris removal slowed normal traffic speed."
408,Driver gave directions to nearest station,"Guided passenger to nearest train station after dropoff."
409,Passenger requested quiet atmosphere,"Kept cab quiet as per passenger's preference."
410,Traffic police redirect,"Policemen redirect traffic due to large-scale municipal event."
411,Driver inspected trunk,"Checked trunk before departure to ensure nothing left behind."
412,Passenger left phone,"Returned phone discovered under seat to the grateful passenger."
413,Traffic temporary bridge closure,"Bridge inspection closed route temporarily for safety checks."
414,Driver supplied extra napkins,"Provided napkins when passenger had a small spill."
415,Passenger asked for fastest route,"Chose fastest route despite tolls to meet passenger schedule."
416,Traffic due to emergency response,"Emergency response vehicles restricted lanes causing slowdowns."
417,Driver assisted with stroller folding,"Helped fold stroller and placed safely in trunk during boarding."
418,Passenger thanked driver,"Passenger thanked driver for his careful and professional service."
419,Traffic caused by fallen tree,"Fallen tree across road caused major diversion and delays."
420,Driver followed traffic advisories,"Monitored traffic advisories to select best route in real-time."
421,Passenger requested help with taxi app,"Helped passenger use taxi app to book return ride."
422,Traffic heavy near school,"School traffic increased local congestion during pickup times."
423,Driver provided garbage bag,"Handed garbage bag to passenger to contain spilled items."
424,Passenger left sunglasses,"Returned sunglasses to passenger after found on seat."
425,Traffic caused by festival","Festival caused multiple small closures and increased pedestrians."
426,Driver carried extra water,"Kept extra water bottles in trunk for long shifts on hot days."
427,Passenger requested minor detour,"Allowed short detour for passenger to collect a forgotten item."
428,Traffic enforced speed limit,"Police enforced speed limits leading to cautious driving among taxis."
429,Driver assisted injured pedestrian,"Stopped and assisted pedestrian until emergency services arrived."
430,Passenger asked for music change,"Changed music station upon passenger request for comfort."
431,Traffic congestion night,"Night time congestion due to late dining crowds."
432,Driver provided charger cable,"Offered compatible charger cable for passenger's phone."
433,Passenger comfortable seating,"Adjusted seat settings for passenger's comfort during long journey."
434,Traffic accident cleanup,"Cleanup operations resumed normal traffic after some hours."
435,Driver followed city regulations,"Complied with required documentation checks during inspection."
436,Passenger requested invoice for expense,"Sent digital invoice for company reimbursement via app."
437,Traffic reroute necessary,"Detour redirected through residential area to avoid major jam."
438,Driver friendly assistance,"Assisted passenger with directions to multiple destinations after dropoff."
439,Passenger luggage handled carefully,"Ensured luggage was secured and placed without damage during transfer."
440,Traffic police presence,"Visible police presence reduced risky driving in the area."
441,Driver offered to wait,"Offered to wait for passenger in long queues and charged accordingly."
